nph,mejdyn,mejwind,phi,filename
1000000.0,0.001,0.13,75,nph1.0e+06_mejdyn0.001_mejwind0.130_phi75.txt
1000000.0,0.001,0.01,45,nph1.0e+06_mejdyn0.001_mejwind0.010_phi45.txt
1000000.0,0.005,0.07,60,nph1.0e+06_mejdyn0.005_mejwind0.070_phi60.txt
1000000.0,0.02,0.03,60,nph1.0e+06_mejdyn0.020_mejwind0.030_phi60.txt
1000000.0,0.005,0.09,45,nph1.0e+06_mejdyn0.005_mejwind0.090_phi45.txt
1000000.0,0.01,0.07,90,nph1.0e+06_mejdyn0.010_mejwind0.070_phi90.txt
1000000.0,0.02,0.11,45,nph1.0e+06_mejdyn0.020_mejwind0.110_phi45.txt
1000000.0,0.02,0.13,0,nph1.0e+06_mejdyn0.020_mejwind0.130_phi0.txt
1000000.0,0.02,0.03,75,nph1.0e+06_mejdyn0.020_mejwind0.030_phi75.txt
1000000.0,0.005,0.05,0,nph1.0e+06_mejdyn0.005_mejwind0.050_phi0.txt
1000000.0,0.005,0.07,75,nph1.0e+06_mejdyn0.005_mejwind0.070_phi75.txt
1000000.0,0.005,0.11,0,nph1.0e+06_mejdyn0.005_mejwind0.110_phi0.txt
1000000.0,0.001,0.09,0,nph1.0e+06_mejdyn0.001_mejwind0.090_phi0.txt
1000000.0,0.02,0.07,0,nph1.0e+06_mejdyn0.020_mejwind0.070_phi0.txt
1000000.0,0.01,0.05,30,nph1.0e+06_mejdyn0.010_mejwind0.050_phi30.txt
1000000.0,0.001,0.13,60,nph1.0e+06_mejdyn0.001_mejwind0.130_phi60.txt
